specie,nest_id,folder,photo,viaje,date,true_inc_day,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,nocturnal_incubation,,,note,note1
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2616-2694,,10-Sep-13,3,8:03:00,9:18:00,1:15:00,75,1.25,f,on,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2694-2766,4,10-Sep-13,3,9:18:00,10:27:00,1:09:00,69,1.15,f,off,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2762-2766,,10-Sep-13,3,10:26:00,10:27:00,0:01:00,1,0.016666667,m,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2766-2769,,10-Sep-13,3,10:27:00,10:30:00,0:03:00,3,0.05,m,on,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2769-5859,5,10-Sep-13,3,10:30:00,11:51:00,1:21:00,81,1.35,m,off,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2840-2846,,10-Sep-13,3,10:40:06,11:41:00,1:00:54,60.9,1.015,f,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2855-5859,,10-Sep-13,3,11:49:51,11:51:00,0:01:09,1.15,0.019166667,f,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),5859-2913,,10-Sep-13,3,11:51:00,12:45:00,0:54:00,54,0.9,f,on,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2913-2918,5,10-Sep-13,3,12:45:00,12:47:00,0:02:00,2,0.033333333,f,off,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2915-2918,,10-Sep-13,3,12:46:25,12:47:00,0:00:35,35,0.583333333,m,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2918-3020,,10-Sep-13,3,12:47:00,14:29:00,1:42:00,102,1.7,m,on,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),3020-3095,6,10-Sep-13,3,14:29:00,15:44:00,1:15:00,75,1.25,m,off,N,,,,fin de carpeta,
Myrmotherula hauxwelli,P02_AJRC13,huevos (10 septiembre-11septiembre),0001-0099,1,10-Sep-13,3,15:48:30,17:15:00,1:26:30,88.5,1.475,,off,N,,,,inicio de carpeta,
Myrmotherula hauxwelli,P02_AJRC13,huevos (10 septiembre-11septiembre),0096-0099,,10-Sep-13,3,17:14:28,17:15:00,0:00:32,0.5,0.008333333,f,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,huevos (10 septiembre-11septiembre),0099-0851,,10-Sep-13,3,17:15:00,0:00:00,6:45:00,405,6.75,f,on,Y,,,,incubación nocturna,
Myrmotherula hauxwelli,P02_AJRC13,huevos (10 septiembre-11septiembre),0099-0851,,11-Sep-13,4,0:00:00,5:47:00,5:47:00,347,5.783333333,f,on,Y,,,,incubación nocturna,
Myrmotherula hauxwelli,P02_AJRC13,huevos (10 septiembre-11septiembre),0851-0902,1,11-Sep-13,4,5:47:00,6:38:00,0:51:00,51,0.85,f,off,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,huevos (10 septiembre-11septiembre),0902-0987,,11-Sep-13,4,6:38:00,8:00:00,1:22:00,82,1.366666667,m,on,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,huevos (10 septiembre-11septiembre),0987-1057,1,11-Sep-13,4,8:00:00,9:10:00,1:10:00,70,1.166666667,m,off,N,,,,,
